% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.200000E-001 -0.160774E-002  0.365395E-001  0.365749E-001
 -0.500000E+001 -0.500000E+001  0.400000E-001 -0.375139E-002  0.175628E-001  0.179590E-001
 -0.500000E+001 -0.500000E+001  0.600000E-001 -0.415831E-002  0.111835E-001  0.119316E-001
 -0.500000E+001 -0.500000E+001  0.800000E-001 -0.425007E-002  0.787359E-002  0.894743E-002
 -0.500000E+001 -0.500000E+001  0.100000E+000 -0.422808E-002  0.578619E-002  0.716635E-002
 -0.500000E+001 -0.500000E+001  0.120000E+000 -0.414629E-002  0.431440E-002  0.598380E-002
 -0.500000E+001 -0.500000E+001  0.140000E+000 -0.402506E-002  0.320089E-002  0.514265E-002
 -0.500000E+001 -0.500000E+001  0.160000E+000 -0.387435E-002  0.231837E-002  0.451502E-002
 -0.500000E+001 -0.500000E+001  0.180000E+000 -0.370032E-002  0.159703E-002  0.403024E-002
 -0.500000E+001 -0.500000E+001  0.200000E+000 -0.350760E-002  0.995599E-003  0.364616E-002
 -0.500000E+001 -0.500000E+001  0.220000E+000 -0.330031E-002  0.488215E-003  0.333622E-002
 -0.500000E+001 -0.500000E+001  0.240000E+000 -0.308255E-002  0.578973E-004  0.308309E-002
 -0.500000E+001 -0.500000E+001  0.260000E+000 -0.285879E-002 -0.306985E-003  0.287522E-002
 -0.500000E+001 -0.500000E+001  0.280000E+000 -0.263428E-002 -0.614723E-003  0.270505E-002
 -0.500000E+001 -0.500000E+001  0.300000E+000 -0.241578E-002 -0.871475E-003  0.256816E-002
 -0.500000E+001 -0.500000E+001  0.320000E+000 -0.221280E-002 -0.108202E-002  0.246318E-002
 -0.500000E+001 -0.500000E+001  0.340000E+000 -0.204045E-002 -0.125024E-002  0.239302E-002
 -0.500000E+001 -0.500000E+001  0.360000E+000 -0.192586E-002 -0.137943E-002  0.236891E-002
 -0.500000E+001 -0.500000E+001  0.380000E+000 -0.192604E-002 -0.147254E-002  0.242446E-002
 -0.500000E+001 -0.500000E+001  0.400000E+000 -0.218713E-002 -0.153229E-002  0.267047E-002
 -0.500000E+001 -0.500000E+001  0.420000E+000 -0.322293E-002 -0.156126E-002  0.358118E-002
 -0.500000E+001 -0.500000E+001  0.440000E+000 -0.879930E-002 -0.156200E-002  0.893686E-002
 -0.500000E+001 -0.500000E+001  0.460000E+000  0.200603E-001 -0.160337E-001  0.256807E-001
 -0.500000E+001 -0.500000E+001  0.480000E+000  0.133581E-001  0.337288E-003  0.133623E-001
 -0.500000E+001 -0.500000E+001  0.500000E+000  0.816738E-002  0.471114E-002  0.942873E-002
 -0.500000E+001 -0.500000E+001  0.520000E+000  0.424355E-002  0.593258E-002  0.729405E-002
 -0.500000E+001 -0.500000E+001  0.540000E+000  0.136513E-002  0.577608E-002  0.593521E-002
 -0.500000E+001 -0.500000E+001  0.560000E+000 -0.659555E-003  0.496016E-002  0.500381E-002
 -0.500000E+001 -0.500000E+001  0.580000E+000 -0.199527E-002  0.385271E-002  0.433871E-002
 -0.500000E+001 -0.500000E+001  0.600000E+000 -0.278297E-002  0.266227E-002  0.385132E-002
 -0.500000E+001 -0.500000E+001  0.620000E+000 -0.314268E-002  0.151153E-002  0.348729E-002
