% x(i), z(i), f(m), real(u(i)), imag(u(i)), abs(u(i))
 -0.500000E+001 -0.500000E+001  0.200000E-001 -0.398284E-002  0.364995E-001  0.367162E-001
 -0.500000E+001 -0.500000E+001  0.400000E-001 -0.429186E-002  0.175621E-001  0.180789E-001
 -0.500000E+001 -0.500000E+001  0.600000E-001 -0.435053E-002  0.111833E-001  0.119997E-001
 -0.500000E+001 -0.500000E+001  0.800000E-001 -0.432463E-002  0.787349E-002  0.898300E-002
 -0.500000E+001 -0.500000E+001  0.100000E+000 -0.424985E-002  0.578614E-002  0.717918E-002
 -0.500000E+001 -0.500000E+001  0.120000E+000 -0.413922E-002  0.431438E-002  0.597888E-002
 -0.500000E+001 -0.500000E+001  0.140000E+000 -0.399929E-002  0.320088E-002  0.512249E-002
 -0.500000E+001 -0.500000E+001  0.160000E+000 -0.383427E-002  0.231836E-002  0.448067E-002
 -0.500000E+001 -0.500000E+001  0.180000E+000 -0.364742E-002  0.159703E-002  0.398173E-002
 -0.500000E+001 -0.500000E+001  0.200000E+000 -0.344160E-002  0.995599E-003  0.358271E-002
 -0.500000E+001 -0.500000E+001  0.220000E+000 -0.321952E-002  0.488216E-003  0.325633E-002
 -0.500000E+001 -0.500000E+001  0.240000E+000 -0.298383E-002  0.578989E-004  0.298439E-002
 -0.500000E+001 -0.500000E+001  0.260000E+000 -0.273716E-002 -0.306983E-003  0.275432E-002
 -0.500000E+001 -0.500000E+001  0.280000E+000 -0.248215E-002 -0.614721E-003  0.255714E-002
 -0.500000E+001 -0.500000E+001  0.300000E+000 -0.222143E-002 -0.871474E-003  0.238626E-002
 -0.500000E+001 -0.500000E+001  0.320000E+000 -0.195761E-002 -0.108202E-002  0.223674E-002
 -0.500000E+001 -0.500000E+001  0.340000E+000 -0.169327E-002 -0.125024E-002  0.210482E-002
 -0.500000E+001 -0.500000E+001  0.360000E+000 -0.143092E-002 -0.137943E-002  0.198755E-002
 -0.500000E+001 -0.500000E+001  0.380000E+000 -0.117298E-002 -0.147254E-002  0.188262E-002
 -0.500000E+001 -0.500000E+001  0.400000E+000 -0.921780E-003 -0.153229E-002  0.178818E-002
 -0.500000E+001 -0.500000E+001  0.420000E+000 -0.679510E-003 -0.156126E-002  0.170273E-002
 -0.500000E+001 -0.500000E+001  0.440000E+000 -0.448208E-003 -0.156199E-002  0.162502E-002
 -0.500000E+001 -0.500000E+001  0.460000E+000  0.200663E-001 -0.160337E-001  0.256853E-001
 -0.500000E+001 -0.500000E+001  0.480000E+000  0.133579E-001  0.337288E-003  0.133622E-001
 -0.500000E+001 -0.500000E+001  0.500000E+000  0.816648E-002  0.471114E-002  0.942795E-002
 -0.500000E+001 -0.500000E+001  0.520000E+000  0.424232E-002  0.593257E-002  0.729334E-002
 -0.500000E+001 -0.500000E+001  0.540000E+000  0.136366E-002  0.577608E-002  0.593487E-002
 -0.500000E+001 -0.500000E+001  0.560000E+000 -0.661287E-003  0.496014E-002  0.500403E-002
 -0.500000E+001 -0.500000E+001  0.580000E+000 -0.199731E-002  0.385265E-002  0.433960E-002
 -0.500000E+001 -0.500000E+001  0.600000E+000 -0.278476E-002  0.266148E-002  0.385206E-002
 -0.500000E+001 -0.500000E+001  0.620000E+000 -0.314582E-002  0.151151E-002  0.349011E-002
 -0.500000E+001 -0.500000E+001  0.640000E+000 -0.318001E-002  0.472020E-003  0.321485E-002
 -0.500000E+001 -0.500000E+001  0.660000E+000 -0.297359E-002 -0.417111E-003  0.300270E-002
 -0.500000E+001 -0.500000E+001  0.680000E+000 -0.259803E-002 -0.113798E-002  0.283633E-002
 -0.500000E+001 -0.500000E+001  0.700000E+000 -0.211244E-002 -0.168687E-002  0.270332E-002
 -0.500000E+001 -0.500000E+001  0.720000E+000 -0.156515E-002 -0.206953E-002  0.259473E-002
 -0.500000E+001 -0.500000E+001  0.740000E+000 -0.995104E-003 -0.229792E-002  0.250413E-002
 -0.500000E+001 -0.500000E+001  0.760000E+000 -0.433110E-003 -0.238788E-002  0.242684E-002
 -0.500000E+001 -0.500000E+001  0.780000E+000  0.970873E-004 -0.235749E-002  0.235949E-002
 -0.500000E+001 -0.500000E+001  0.800000E+000  0.577817E-003 -0.222585E-002  0.229962E-002
 -0.500000E+001 -0.500000E+001  0.820000E+000  0.996613E-003 -0.201218E-002  0.224547E-002
 -0.500000E+001 -0.500000E+001  0.840000E+000  0.134543E-002 -0.173521E-002  0.219571E-002
 -0.500000E+001 -0.500000E+001  0.860000E+000  0.161997E-002 -0.141267E-002  0.214941E-002
 -0.500000E+001 -0.500000E+001  0.880000E+000  0.181903E-002 -0.106102E-002  0.210585E-002
 -0.500000E+001 -0.500000E+001  0.900000E+000  0.194411E-002 -0.697754E-003  0.206553E-002
 -0.500000E+001 -0.500000E+001  0.920000E+000 -0.980055E-002 -0.439060E-002  0.107391E-001
 -0.500000E+001 -0.500000E+001  0.940000E+000 -0.116172E-002 -0.784404E-002  0.792960E-002
 -0.500000E+001 -0.500000E+001  0.960000E+000  0.373709E-002 -0.614920E-002  0.719573E-002
 -0.500000E+001 -0.500000E+001  0.980000E+000  0.600617E-002 -0.323629E-002  0.682258E-002
 -0.500000E+001 -0.500000E+001  0.100000E+001  0.650543E-002 -0.364486E-003  0.651564E-002
 -0.500000E+001 -0.500000E+001  0.102000E+001  0.589060E-002  0.198378E-002  0.621567E-002
 -0.500000E+001 -0.500000E+001  0.104000E+001  0.464337E-002  0.365403E-002  0.590871E-002
